"county","county_names","region","zipcode","wwtp_name","sw_id","epaid","cdc_id","site_id","sample_location","sample_location_specify","method","capacity_mgd","population_served","institution_type","reporting_jurisdiction","wwtp_jurisdiction","wwtp_latitude","wwtp_longitude"
"Ulster",36111,"Mid-Hudson",12401,"Kingston WWTF","36111NY0029351UCWWN","NY0029351","NY111029351A","NY111029351A","wwtp","Kingston","Influent",6.8,26599,"not institution specific","ny","ny",41.92,-73.98
"Ulster",36111,"Mid-Hudson",12561,"New Paltz - V WWTF","36111NY0030082UCWWK","NY0030082","NY111030082A","NY111030082A","wwtp","New Paltz","Influent",1.5,10577,"not institution specific","ny","ny",41.75,-74.09
"Ulster",36111,"Mid-Hudson",12477,"Saugerties - V STP","36111NY0031208UCWWR","NY0031208","NY111031208A","NY111031208A","wwtp","Village of Saugerties","Influent",1.36,3793,"not institution specific","ny","ny",42.07,-73.94
"Ulster",36111,"Mid-Hudson",12428,"Ellenville STP","36111NY0034002UCWWC","NY0034002","NY111034002A","NY111034002A","wwtp","Ellenville","Influent",0.8,5009,"not institution specific","ny","ny",41.72,-74.38
"Ulster",36111,"Mid-Hudson",12414,"Glascto WWTP","36111NY0145564UCWWP","NY0145564","NY111145564A","NY111145564A","wwtp","Glasco","Influent",0.42,4459,"not institution specific","ny","ny",42.04,-73.94
"Warren",36113,"Capital",12804,"Glens Falls STP","36113NY0029050SGF","NY0029050","NY113029050C","NY113029050C","upstream","South Glens Falls","Upstream Unknown",9.5,3572,"not institution specific","ny","ny",43.31,-73.62
"Warren",36113,"Capital",12804,"Glens Falls STP","36113NY0029050001","NY0029050","NY113029050A","NY113029050A","wwtp","Glens Falls","Influent",9.5,23462,"not institution specific","ny","ny",43.31,-73.62
"Warren",36113,"Capital",12804,"Glens Falls STP","36113NY0029050MBPS","NY0029050","NY113029050B","NY113029050B","upstream","Meadowbrook Pump Station","Upstream Pump Station",9.5,5603,"not institution specific","ny","ny",43.31,-73.62
"Washington",36115,"Capital",12827,"Fort Ann STP","36115NY0030627WCWWB","NY0030627","NY115030627A","NY115030627A","wwtp","Village of Fort Ann","Influent",0.11,5316,"not institution specific","ny","ny",43.42,-73.49
"Washington",36115,"Capital",12828,"Washington Co SD No 2","36115NY0183695WCWWC","NY0183695","NY115183695A","NY115183695A","wwtp","Fort Edward and Kingsbury","Influent",2.5,12260,"not institution specific","ny","ny",43.26,-73.58
"Wayne",36117,"Finger Lakes",14522,"Palmyra - V STP","36117NY0025101WCWWF","NY0025101","NY117025101A","NY117025101A","wwtp","Palmyra","Influent",0.6,3561,"not institution specific","ny","ny",43.06,-77.22
"Wayne",36117,"Finger Lakes",14568,"Town of Walworth SD No 1","36117NY0025704WCWWH","NY0025704","NY117025704A","NY117025704A","wwtp","Walworth SD","Influent",1.25,5663,"not institution specific","ny","ny",43.13,-77.3
"Wayne",36117,"Finger Lakes",14519,"Town of Ontario WWTP","36117NY0027171WCWWJ","NY0027171","NY117027171A","NY117027171A","wwtp","Town of Ontario","Influent",1,5145,"not institution specific","ny","ny",43.27,-77.28
"Wayne",36117,"Finger Lakes",14513,"Newark WWTF","36117NY0029475WCWWE","NY0029475","NY117029475A","NY117029475A","wwtp","Newark","Influent",3,8931,"not institution specific","ny","ny",43.05,-77.09
"Wayne",36117,"Finger Lakes",14589,"Williamson - T STP","36117NY0108723WCWWK","NY0108723","NY117108723A","NY117108723A","wwtp","Town of Williamson","Influent",0.62,3685,"not institution specific","ny","ny",43.27,-77.17
"Westchester",36119,"Mid-Hudson",10705,"Yonkers Joint WWTP","36119NY0026689WCWWE","NY0026689","NY119026689A","NY119026689A","wwtp","Yonkers","Influent",120,523765,"not institution specific","ny","ny",40.92,-73.91
"Westchester",36119,"Mid-Hudson",10705,"Yonkers Joint WWTP","36119NY0026689E001","NY0026689","NY119026689B","NY119026689B","upstream","South Yonkers","Upstream Unknown",120,40034,"not institution specific","ny","ny",40.92,-73.91
"Westchester",36119,"Mid-Hudson",10705,"Yonkers Joint WWTP","36119NY0026689E002","NY0026689","NY119026689C","NY119026689C","upstream","Bronx Valley","Upstream Unknown",120,210101,"not institution specific","ny","ny",40.92,-73.91
"Westchester",36119,"Mid-Hudson",10705,"Yonkers Joint WWTP","36119NY0026689E003","NY0026689","NY119026689D","NY119026689D","upstream","North Yonkers","Upstream Unknown",120,42561,"not institution specific","ny","ny",40.92,-73.91
"Westchester",36119,"Mid-Hudson",10705,"Yonkers Joint WWTP","36119NY0026689E004","NY0026689","NY119026689E","NY119026689E","upstream","Saw Mill","Upstream Unknown",120,114627,"not institution specific","ny","ny",40.92,-73.91
"Westchester",36119,"Mid-Hudson",10705,"Yonkers Joint WWTP","36119NY0026689E005","NY0026689","NY119026689F","NY119026689F","upstream","Central Yonkers","Upstream Unknown",120,28989,"not institution specific","ny","ny",40.92,-73.91
"Westchester",36119,"Mid-Hudson",10705,"Yonkers Joint WWTP","36119NY0026689E006","NY0026689","NY119026689G","NY119026689G","upstream","Hutchinson","Upstream Unknown",120,79075,"not institution specific","ny","ny",40.92,-73.91
"Westchester",36119,"Mid-Hudson",10705,"Yonkers Joint WWTP","36119NY0026689E007","NY0026689","NY119026689H","NY119026689H","upstream","Upper Bronx","Upstream Unknown",120,9152,"not institution specific","ny","ny",40.92,-73.91
"Westchester",36119,"Mid-Hudson",10805,"New Rochelle STP","36119NY0026697WCWWF","NY0026697","NY119026697A","NY119026697A","wwtp","New Rochelle","Influent",13.6,78683,"not institution specific","ny","ny",40.91,-73.77
"Westchester",36119,"Mid-Hudson",10543,"Mamaroneck WWTP","36119NY0026701WCWWG","NY0026701","NY119026701A","NY119026701A","wwtp","White Plains","Influent",20.6,94095,"not institution specific","ny","ny",40.95,-73.73
"Westchester",36119,"Mid-Hudson",10580,"Blind Brook WWTP","36119NY0026719WCWWH","NY0026719","NY119026719A","NY119026719A","wwtp","Rye","Influent",5,26651,"not institution specific","ny","ny",40.96,-73.69
"Westchester",36119,"Mid-Hudson",10598,"Yorktown Heights STP","36119NY0026743WCWWJ","NY0026743","NY119026743A","NY119026743A","wwtp","Yorktown Heights","Influent",1.5,14252,"not institution specific","ny","ny",41.28,-73.77
"Westchester",36119,"Mid-Hudson",10573,"Port Chester WWTF","36119NY0026786WCWWI","NY0026786","NY119026786A","NY119026786A","wwtp","Port Chester","Influent",6,31046,"not institution specific","ny","ny",40.99,-73.66
"Westchester",36119,"Mid-Hudson",10566,"Peekskill WWTF","36119NY0100803WCWWA","NY0100803","NY119100803A","NY119100803A","wwtp","Peekskill","Influent",10,44876,"not institution specific","ny","ny",41.3,-73.93
"Westchester",36119,"Mid-Hudson",10562,"Ossining WWTP","36119NY0108324WCWWC","NY0108324","NY119108324A","NY119108324A","wwtp","Ossining","Influent",7,40301,"not institution specific","ny","ny",41.15,-73.87
"Wyoming",36121,"Finger Lakes",14569,"Warsaw STP","36121NY0021504WCWWD","NY0021504","NY121021504A","NY121021504A","wwtp","Warsaw City","Influent",1.2,3448,"not institution specific","ny","ny",42.75,-78.14
"Wyoming",36121,"Finger Lakes",14530,"Village of Perry WWTP","36121NY0022985WCWWC","NY0022985","NY121022985A","NY121022985A","wwtp","Village of Perry","Influent",0.97,4084,"not institution specific","ny","ny",42.72,-77.98
"Wyoming",36121,"Finger Lakes",14009,"Arcade STP","36121NY0026948WCWWA","NY0026948","NY121026948A","NY121026948A","wwtp","Village of Arcade and Lime Lake SD","Influent",0.5,3555,"not institution specific","ny","ny",42.54,-78.46
"Yates",36123,"Finger Lakes",14527,"Penn Yan STP","36123NY0029726YCWWB","NY0029726","NY123029726A","NY123029726A","wwtp","Penn Yan","Influent",1.8,5339,"not institution specific","ny","ny",42.66,-77.04
